timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773808848004,310,HTTP Request-0,301,Moved Permanently,Thread Group 1-54,text,true,,1220,136,51,51,http://karaokeivan.com/index.php/login/,310,0,156
1773808848315,3097,HTTP Request-1,200,OK,Thread Group 1-54,text,true,,96597,136,51,51,https://karaokeivan.com/index.php/login/,2517,0,353
1773808849795,1897,HTTP Request,200,OK,Thread Group 1-72,text,true,,97817,272,52,52,https://karaokeivan.com/index.php/login/,319,0,162
1773808849795,319,HTTP Request-0,301,Moved Permanently,Thread Group 1-72,text,true,,1220,136,52,52,http://karaokeivan.com/index.php/login/,319,0,162
1773808850115,1577,HTTP Request-1,200,OK,Thread Group 1-72,text,true,,96597,136,52,52,https://karaokeivan.com/index.php/login/,1010,0,352
1773808849397,2346,HTTP Request,200,OK,Thread Group 1-68,text,true,,97819,272,51,51,https://karaokeivan.com/index.php/login/,325,0,164
1773808849397,325,HTTP Request-0,301,Moved Permanently,Thread Group 1-68,text,true,,1221,136,51,51,http://karaokeivan.com/index.php/login/,325,0,164
1773808849726,2017,HTTP Request-1,200,OK,Thread Group 1-68,text,true,,96598,136,51,51,https://karaokeivan.com/index.php/login/,1472,0,336
1773808848910,2851,HTTP Request,200,OK,Thread Group 1-63,text,true,,97810,272,50,50,https://karaokeivan.com/index.php/login/,314,0,159
1773808848910,314,HTTP Request-0,301,Moved Permanently,Thread Group 1-63,text,true,,1220,136,50,50,http://karaokeivan.com/index.php/login/,314,0,159
1773808849226,2535,HTTP Request-1,200,OK,Thread Group 1-63,text,true,,96590,136,50,50,https://karaokeivan.com/index.php/login/,2159,0,347
1773808849095,2935,HTTP Request,200,OK,Thread Group 1-65,text,true,,97817,272,49,49,https://karaokeivan.com/index.php/login/,351,0,177
1773808849095,351,HTTP Request-0,301,Moved Permanently,Thread Group 1-65,text,true,,1220,136,49,49,http://karaokeivan.com/index.php/login/,351,0,177
1773808849447,2583,HTTP Request-1,200,OK,Thread Group 1-65,text,true,,96597,136,49,49,https://karaokeivan.com/index.php/login/,2018,0,358
1773808848304,3919,HTTP Request,200,OK,Thread Group 1-57,text,true,,97810,272,48,48,https://karaokeivan.com/index.php/login/,312,0,153
1773808848304,312,HTTP Request-0,301,Moved Permanently,Thread Group 1-57,text,true,,1220,136,48,48,http://karaokeivan.com/index.php/login/,312,0,153
1773808848618,3605,HTTP Request-1,200,OK,Thread Group 1-57,text,true,,96590,136,48,48,https://karaokeivan.com/index.php/login/,3175,0,351
